Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Iterative,1584,884,15,422,0.201938,7.021,-1
Breadth First Search - Iterative,884,184,15,422,0.173313,5.616,-1
Breadth First Search - Iterative,184,1985,38,1353,0.179305,21.733,-1
Breadth First Search - Iterative,1985,1285,15,406,0.188343,5.355,-1
Breadth First Search - Iterative,1285,585,15,422,0.193301,5.387,-1
Breadth First Search - Iterative,585,2386,38,1699,0.179087,17.094,-1
Breadth First Search - Iterative,2386,1686,15,278,0.178569,6.761,-1
Breadth First Search - Iterative,1686,986,15,422,0.177847,6.48,-1
Breadth First Search - Iterative,986,286,15,422,0.172664,7.329,-1
Breadth First Search - Iterative,286,2087,38,1409,0.175175,19.974,-1
Breadth First Search - Iterative,2087,1387,15,385,0.174643,8.129,-1
Breadth First Search - Iterative,1387,687,15,421,0.178232,4.842,-1
Breadth First Search - Iterative,687,2488,38,1715,0.174332,14.976,-1
Breadth First Search - Iterative,2488,1788,15,223,0.177811,-2.32036E+77,-1
Breadth First Search - Iterative,1788,1088,15,418,0.180276,6.618,-1
Breadth First Search - Iterative,1088,388,15,418,0.176814,7.872,-1
Breadth First Search - Iterative,388,2189,38,1441,0.172649,16.324,-1
Breadth First Search - Iterative,2189,1489,15,349,0.169709,5.711,-1
Breadth First Search - Iterative,1489,789,15,413,0.209402,5.312,-1
Breadth First Search - Iterative,789,89,15,413,0.204747,6.458,-1
Breadth First Search - Iterative,89,1890,38,1141,0.19616,16.336,-1
Breadth First Search - Iterative,1890,1190,15,402,0.171321,5.505,-1
Breadth First Search - Iterative,1190,490,15,406,0.176486,7.665,-1
Breadth First Search - Iterative,490,2291,38,1453,0.179229,15.32,-1
Breadth First Search - Iterative,2291,1591,15,297,0.178289,5.048,-1
Breadth First Search - Iterative,1591,891,15,397,0.172976,7.606,-1
Breadth First Search - Iterative,891,191,15,397,0.177271,7.574,-1
Breadth First Search - Iterative,191,1992,38,1173,0.203231,20.517,-1
Breadth First Search - Iterative,1992,1292,15,370,0.176469,6.01,-1
Breadth First Search - Iterative,1292,592,15,386,0.189647,6.646,-1
Breadth First Search - Iterative,592,2393,38,1449,0.175483,17.203,-1
Breadth First Search - Iterative,2393,1693,15,239,0.181964,6.21,-1
Breadth First Search - Iterative,1693,993,15,373,0.174421,6.407,-1
Breadth First Search - Iterative,993,293,15,373,0.207878,7.813,-1
Breadth First Search - Iterative,293,2094,38,1189,0.199308,19.98,-1
Breadth First Search - Iterative,2094,1394,15,322,0.206662,6.593,-1
Breadth First Search - Iterative,1394,694,15,358,0.188076,7.993,-1
Breadth First Search - Iterative,694,2495,38,1429,0.195553,17.529,-1
Breadth First Search - Iterative,2495,1795,15,181,0.182933,6.069,-1
Breadth First Search - Iterative,1795,1095,15,341,0.183366,8.125,-1
Breadth First Search - Iterative,1095,395,15,341,0.175668,8.046,-1
Breadth First Search - Iterative,395,2196,38,1189,0.186628,18.608,-1
Breadth First Search - Iterative,2196,1496,15,264,0.175578,6.087,-1
Breadth First Search - Iterative,1496,796,15,322,0.18728,4.162,-1
Breadth First Search - Iterative,796,96,15,322,0.185231,7.424,-1
Breadth First Search - Iterative,96,1897,38,924,0.172217,19.648,-1
Breadth First Search - Iterative,1897,1197,15,297,0.190993,4.028,-1
Breadth First Search - Iterative,1197,497,15,301,0.189102,8.338,-1
Breadth First Search - Iterative,497,2298,38,1173,0.18155,18.732,-1
Breadth First Search - Iterative,2298,1598,15,206,0.175604,6.475,-1
Breadth First Search - Iterative,1598,898,15,278,0.215336,6.877,-1
Breadth First Search - Iterative,898,198,15,278,0.191548,6.08,-1
Breadth First Search - Iterative,198,1999,38,928,0.198672,17.916,-1
Breadth First Search - Iterative,1999,1299,15,240,0.178724,6.831,-1
Breadth First Search - Iterative,1299,599,15,253,0.182639,7.139,-1
Breadth First Search - Iterative,599,2400,38,1141,0.180308,18.121,-1
Breadth First Search - Iterative,2400,1700,15,148,0.183459,4.79,-1
Breadth First Search - Iterative,1700,1000,15,226,0.177949,6.832,-1
Breadth First Search - Iterative,1000,300,15,226,0.177757,6.949,-1
Breadth First Search - Iterative,300,2101,87,2466,0.179753,42.334,-1
Breadth First Search - Iterative,2101,1401,15,198,0.180998,6.382,-1
Breadth First Search - Iterative,1401,701,15,226,0.173954,5.167,-1
Breadth First Search - Iterative,701,1,15,226,0.177389,8.994,-1
Breadth First Search - Iterative,1,1802,38,741,0.179816,16.659,-1
Breadth First Search - Iterative,1802,1102,15,252,0.191468,4.887,-1
Breadth First Search - Iterative,1102,402,15,253,0.217972,7.977,-1
Breadth First Search - Iterative,402,2203,38,1054,0.203112,15.845,-1
Breadth First Search - Iterative,2203,1503,15,218,0.185006,4.764,-1
Breadth First Search - Iterative,1503,803,15,278,0.295391,6.622,-1
Breadth First Search - Iterative,803,103,15,278,0.19851,7.753,-1
Breadth First Search - Iterative,103,1904,38,891,0.182939,17.533,-1
Breadth First Search - Iterative,1904,1204,15,292,0.175885,7.472,-1
Breadth First Search - Iterative,1204,504,15,301,0.175973,5.131,-1
Breadth First Search - Iterative,504,2305,38,1204,0.19486,16.355,-1
Breadth First Search - Iterative,2305,1605,15,222,0.182144,3.458,-1
Breadth First Search - Iterative,1605,905,15,322,0.178443,8.24,-1
Breadth First Search - Iterative,905,205,15,322,0.181681,6.537,-1
Breadth First Search - Iterative,205,2006,38,1041,0.180927,16.856,-1
Breadth First Search - Iterative,2006,1306,15,316,0.217336,7.431,-1
Breadth First Search - Iterative,1306,606,15,341,0.207184,6.806,-1
Breadth First Search - Iterative,606,2407,38,1354,0.18599,16.339,-1
Breadth First Search - Iterative,2407,1707,15,210,0.175399,2.553,-1
Breadth First Search - Iterative,1707,1007,15,358,0.195097,6.864,-1
Breadth First Search - Iterative,1007,307,15,358,0.180149,6.027,-1
Breadth First Search - Iterative,307,2108,38,1191,0.179986,15.181,-1
Breadth First Search - Iterative,2108,1408,15,324,0.178277,5.889,-1
Breadth First Search - Iterative,1408,708,15,373,0.184557,6.116,-1
Breadth First Search - Iterative,708,8,15,373,0.180816,6.622,-1
Breadth First Search - Iterative,8,1809,38,979,0.184395,17.682,-1
Breadth First Search - Iterative,1809,1109,15,385,0.178379,7.409,-1
Breadth First Search - Iterative,1109,409,15,386,0.174684,7.084,-1
Breadth First Search - Iterative,409,2210,38,1341,0.175658,18.038,-1
Breadth First Search - Iterative,2210,1510,15,316,0.181097,7.768,-1
Breadth First Search - Iterative,1510,810,15,397,0.173706,5.32,-1
Breadth First Search - Iterative,810,110,15,397,0.195782,6.305,-1
Breadth First Search - Iterative,110,1911,38,1129,0.191,18.342,-1
Breadth First Search - Iterative,1911,1211,15,397,0.1818,9.264,-1
Breadth First Search - Iterative,1211,511,15,406,0.183569,7.403,-1
Breadth First Search - Iterative,511,2312,38,1491,0.172941,18.762,-1
Breadth First Search - Iterative,2312,1612,15,292,0.180658,5.408,-1
Breadth First Search - Recursive,1584,884,15,2500,0.226995,7.021,-1
Breadth First Search - Recursive,884,184,15,2500,0.192592,5.616,-1
Breadth First Search - Recursive,184,1985,38,2500,0.182615,19.629,-1
Breadth First Search - Recursive,1985,1285,15,2500,0.20812,4.797,-1
Breadth First Search - Recursive,1285,585,15,2500,0.212684,5.387,-1
Breadth First Search - Recursive,585,2386,38,2500,0.191221,17.294,-1
Breadth First Search - Recursive,2386,1686,15,2500,0.328311,5.5,-1
Breadth First Search - Recursive,1686,986,15,2500,0.675435,6.929,-1
Breadth First Search - Recursive,986,286,15,2500,0.625429,7.329,-1
Breadth First Search - Recursive,286,2087,38,2500,0.553089,19.063,-1
Breadth First Search - Recursive,2087,1387,15,2500,0.183999,8.049,-1
Breadth First Search - Recursive,1387,687,15,2500,0.175224,4.842,-1
Breadth First Search - Recursive,687,2488,38,2500,0.176493,14.009,-1
Breadth First Search - Recursive,2488,1788,15,222,0.280965,6.797,-1
Breadth First Search - Recursive,1788,1088,15,2500,0.409012,6.253,-1
Breadth First Search - Recursive,1088,388,15,2500,0.219353,7.872,-1
Breadth First Search - Recursive,388,2189,38,2500,0.191153,15.389,-1
Breadth First Search - Recursive,2189,1489,15,2500,0.200641,5.264,-1
Breadth First Search - Recursive,1489,789,15,2500,0.187675,5.312,-1
Breadth First Search - Recursive,789,89,15,2500,0.21644,6.458,-1
Breadth First Search - Recursive,89,1890,38,2500,0.186073,17.206,-1
Breadth First Search - Recursive,1890,1190,15,2500,0.178195,7.202,-1
Breadth First Search - Recursive,1190,490,15,2500,0.179752,7.665,-1
Breadth First Search - Recursive,490,2291,38,2500,0.18203,15.978,-1
Breadth First Search - Recursive,2291,1591,15,2500,0.195422,4.516,-1
Breadth First Search - Recursive,1591,891,15,2500,0.185353,7.606,-1
Breadth First Search - Recursive,891,191,15,2500,0.251258,7.574,-1
Breadth First Search - Recursive,191,1992,38,2500,0.408369,21.813,-1
Breadth First Search - Recursive,1992,1292,15,2500,0.17683,5.933,-1
Breadth First Search - Recursive,1292,592,15,2500,0.17952,6.646,-1
Breadth First Search - Recursive,592,2393,38,2500,0.173841,12.993,-1
Breadth First Search - Recursive,2393,1693,15,2500,0.175457,6.387,-1
Breadth First Search - Recursive,1693,993,15,2500,0.172078,6.685,-1
Breadth First Search - Recursive,993,293,15,2500,0.172935,7.813,-1
Breadth First Search - Recursive,293,2094,38,2500,0.171333,17.554,-1
Breadth First Search - Recursive,2094,1394,15,2500,0.172297,7.328,-1
Breadth First Search - Recursive,1394,694,15,2500,0.175158,7.993,-1
Breadth First Search - Recursive,694,2495,38,2500,0.185381,17.453,-1
Breadth First Search - Recursive,2495,1795,15,180,0.177701,7.755,-1
Breadth First Search - Recursive,1795,1095,15,2500,0.235523,7.754,-1
Breadth First Search - Recursive,1095,395,15,2500,0.185654,8.046,-1
Breadth First Search - Recursive,395,2196,38,2500,0.183982,15.337,-1
