Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Iterative,388,2189,38,1441,0.229744,15.895,-1
Breadth First Search - Iterative,2189,1489,15,314,0.206695,5.711,-1
Breadth First Search - Iterative,1489,789,15,363,0.205155,5.312,-1
Breadth First Search - Iterative,789,89,15,363,0.199221,6.458,-1
Breadth First Search - Iterative,89,1890,38,1141,0.221958,16.336,-1
Breadth First Search - Iterative,1890,1190,15,357,0.199738,5.505,-1
Breadth First Search - Iterative,1190,490,15,358,0.195886,7.665,-1
Breadth First Search - Iterative,490,2291,38,1453,0.224033,18.487,-1
Breadth First Search - Iterative,2291,1591,15,270,0.19172,4.419,-1
Breadth First Search - Iterative,1591,891,15,351,0.200159,7.606,-1
Breadth First Search - Iterative,891,191,15,351,0.227009,7.574,-1
Breadth First Search - Iterative,191,1992,38,1173,0.214379,20.517,-1
Breadth First Search - Iterative,1992,1292,15,333,0.198102,6.01,-1
Breadth First Search - Iterative,1292,592,15,342,0.193289,6.646,-1
Breadth First Search - Iterative,592,2393,38,1449,0.226952,19.073,-1
Breadth First Search - Iterative,2393,1693,15,216,0.19096,7.962,-1
Breadth First Search - Iterative,1693,993,15,331,0.193621,6.407,-1
Breadth First Search - Iterative,993,293,15,331,0.199002,7.813,-1
Breadth First Search - Iterative,293,2094,38,1189,0.24548,19.562,-1
Breadth First Search - Iterative,2094,1394,15,293,0.185856,6.593,-1
Breadth First Search - Iterative,1394,694,15,318,0.186936,7.993,-1
Breadth First Search - Iterative,694,2495,38,1429,0.218146,17.529,-1
Breadth First Search - Iterative,2495,1795,15,162,0.196845,3.899,-1
Breadth First Search - Iterative,1795,1095,15,303,0.202729,8.125,-1
Breadth First Search - Iterative,1095,395,15,303,0.198982,8.046,-1
Breadth First Search - Iterative,395,2196,38,1189,0.222494,17.827,-1
Breadth First Search - Iterative,2196,1496,15,240,0.194799,6.087,-1
Breadth First Search - Iterative,1496,796,15,286,0.193757,4.162,-1
Breadth First Search - Iterative,796,96,15,286,0.197903,7.424,-1
Breadth First Search - Iterative,96,1897,38,924,0.209612,19.648,-1
Breadth First Search - Iterative,1897,1197,15,266,0.193179,4.028,-1
Breadth First Search - Iterative,1197,497,15,267,0.192197,8.338,-1
Breadth First Search - Iterative,497,2298,38,1173,0.256747,17.918,-1
Breadth First Search - Iterative,2298,1598,15,186,0.216177,5.081,-1
Breadth First Search - Iterative,1598,898,15,246,0.203435,6.877,-1
Breadth First Search - Iterative,898,198,15,246,0.191187,6.08,-1
Breadth First Search - Iterative,198,1999,38,928,0.206492,17.916,-1
Breadth First Search - Iterative,1999,1299,15,215,0.197157,6.831,-1
Breadth First Search - Iterative,1299,599,15,223,0.210111,7.139,-1
Breadth First Search - Iterative,599,2400,38,1141,0.226828,17.761,-1
Breadth First Search - Iterative,2400,1700,15,132,0.192645,4.79,-1
Breadth First Search - Iterative,1700,1000,15,198,0.194853,6.832,-1
Breadth First Search - Iterative,1000,300,15,198,0.198919,6.949,-1
Breadth First Search - Iterative,300,2101,87,2466,0.25631,42.334,-1
Breadth First Search - Iterative,2101,1401,15,177,0.192729,6.382,-1
Breadth First Search - Iterative,1401,701,15,198,0.196101,5.167,-1
Breadth First Search - Iterative,701,1,15,198,0.194641,8.994,-1
Breadth First Search - Iterative,1,1802,38,741,0.236305,16.659,-1
Breadth First Search - Iterative,1802,1102,15,223,0.201021,4.887,-1
Breadth First Search - Iterative,1102,402,15,223,0.200812,7.977,-1
Breadth First Search - Iterative,402,2203,38,1054,0.208893,15.662,-1
Breadth First Search - Iterative,2203,1503,15,197,0.304409,4.764,-1
Breadth First Search - Iterative,1503,803,15,246,0.305968,6.622,-1
Breadth First Search - Iterative,803,103,15,246,0.197733,7.753,-1
