Breadth First Search - Iterative,114,1915,38,1242,0.20572,15.641,-1
Breadth First Search - Iterative,1215,515,15,367,0.176078,6.564,-1
Breadth First Search - Iterative,2316,1616,15,267,0.172841,6.512,-1
Breadth First Search - Iterative,916,216,15,367,0.174491,6.741,-1
Breadth First Search - Iterative,2017,1317,15,351,0.174359,8.123,-1
Breadth First Search - Iterative,617,2418,38,1767,0.214903,17.925,-1
Breadth First Search - Iterative,1718,1018,15,367,0.175449,5.129,-1
Breadth First Search - Iterative,318,2119,38,1518,0.20307,16.857,-1
Breadth First Search - Iterative,1419,719,15,367,0.176457,4.785,-1
Breadth First Search - Iterative,19,1820,38,1233,0.195654,18.824,-1
Breadth First Search - Iterative,1120,420,15,367,0.204098,7.351,-1
Breadth First Search - Iterative,2221,1521,15,303,0.179673,7.253,-1
Breadth First Search - Iterative,821,121,15,367,0.180603,7.877,-1
Breadth First Search - Iterative,1922,1222,15,363,0.170224,7.834,-1
Breadth First Search - Iterative,522,2323,38,1762,0.273185,17.982,-1
Breadth First Search - Iterative,1623,923,15,367,0.174641,6.406,-1
Breadth First Search - Iterative,223,2024,38,1469,0.204126,20.568,-1
Breadth First Search - Iterative,1324,624,15,367,0.194843,7.67,-1
Breadth First Search - Iterative,2425,1725,15,223,0.177561,6.178,-1
Breadth First Search - Iterative,1025,325,15,367,0.174957,5.304,-1
Breadth First Search - Iterative,2126,1426,15,331,0.170063,7.91,-1
Breadth First Search - Iterative,726,26,15,367,0.171159,6.546,-1
Breadth First Search - Iterative,1827,1127,15,367,0.171415,6.696,-1
Breadth First Search - Iterative,427,2228,38,1673,0.202086,16.464,-1
Breadth First Search - Iterative,1528,828,15,367,0.171124,4.967,-1
Breadth First Search - Iterative,128,1929,38,1369,0.195079,18.637,-1
Breadth First Search - Iterative,1229,529,15,367,0.16893,7.254,-1
Breadth First Search - Iterative,2330,1630,15,267,0.166543,6.751,-1
Breadth First Search - Iterative,930,230,15,367,0.169586,7.604,-1
Breadth First Search - Iterative,2031,1331,15,351,0.169171,7.553,-1
Breadth First Search - Iterative,631,2432,38,1830,0.204048,18.126,-1
Breadth First Search - Iterative,1732,1032,15,367,0.167809,7.763,-1
Breadth First Search - Iterative,332,2133,38,1533,0.196422,16.687,-1
Breadth First Search - Iterative,1433,733,15,367,0.167411,7.573,-1
Breadth First Search - Iterative,33,1834,38,1219,0.189718,21.066,-1
Breadth First Search - Iterative,1134,434,15,367,0.168902,6.942,-1
Breadth First Search - Iterative,2235,1535,15,303,0.169038,3.468,-1
