Depth First Search - Iterative,478,2279,58,2400,0.195826,26.514000000,-1.000000000
Depth First Search - Iterative,1579,879,15,15,0.172101,8.172000000,-1.000000000
Depth First Search - Iterative,179,1980,46,2418,0.200964,20.351000000,-1.000000000
Depth First Search - Iterative,1280,580,15,15,0.165863,6.066000000,-1.000000000
Depth First Search - Iterative,2381,1681,15,15,0.163403,4.314000000,-1.000000000
Depth First Search - Iterative,981,281,15,15,0.164880,4.940000000,-1.000000000
Depth First Search - Iterative,2082,1382,15,15,0.163145,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000000,-1.000000000
Depth First Search - Iterative,682,2483,66,817,0.174747,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000000,-1.000000000
Depth First Search - Iterative,1783,1083,15,15,0.167018,7.574000000,-1.000000000
Depth First Search - Iterative,383,2184,54,2406,0.200737,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000000,-1.000000000
Depth First Search - Iterative,1484,784,15,15,0.165581,7.153000000,-1.000000000
Depth First Search - Iterative,84,1885,42,2425,0.201847,18.560000000,-1.000000000
Depth First Search - Iterative,1185,485,15,15,0.164975,6.346000000,-1.000000000
Depth First Search - Iterative,2286,1586,15,15,0.163414,7.345000000,-1.000000000
Depth First Search - Iterative,886,186,15,15,0.164758,7.549000000,-1.000000000
Depth First Search - Iterative,1987,1287,15,15,0.164002,8.614000000,-1.000000000
Depth First Search - Iterative,587,2388,62,2394,0.206049,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000000,-1.000000000
Depth First Search - Iterative,1688,988,15,15,0.168226,6.972000000,-1.000000000
Depth First Search - Iterative,288,2089,50,2412,0.205815,23.427000000,-1.000000000
Depth First Search - Iterative,1389,689,15,15,0.165702,5.966000000,-1.000000000
Depth First Search - Iterative,2490,1790,15,15,0.168289,7.987000000,-1.000000000
Depth First Search - Iterative,1090,390,15,15,0.165221,8.210000000,-1.000000000
Depth First Search - Iterative,2191,1491,15,15,0.170970,6.765000000,-1.000000000
Depth First Search - Iterative,791,91,15,15,0.167798,7.020000000,-1.000000000
Depth First Search - Iterative,1892,1192,15,15,0.163014,6.147000000,-1.000000000
Depth First Search - Iterative,492,2293,58,2400,0.213835,24.641999994,-1.000000000
Depth First Search - Iterative,1593,893,15,15,0.165474,7.355000000,-1.000000000
Depth First Search - Iterative,193,1994,46,2418,0.222064,25.997000000,-1.000000000
Depth First Search - Iterative,1294,594,15,15,0.167579,8.271000000,-1.000000000
Depth First Search - Iterative,2395,1695,15,15,0.179698,7.335000000,-1.000000000
Depth First Search - Iterative,995,295,15,15,0.171893,8.064000000,-1.000000000
Depth First Search - Iterative,2096,1396,15,15,0.165034,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000000,-1.000000000
Depth First Search - Iterative,696,2497,66,117,0.164868,-134078079299425970995740249982058461274793658205923933777235614437217640300735469768018742981669034276900318581864860508537538828119465699464336490060840960.000000000,-1.000000000
Depth First Search - Iterative,1797,1097,15,15,0.164287,3.806000000,-1.000000000
Depth First Search - Iterative,397,2198,54,2406,0.234789,24.440000000,-1.000000000
Depth First Search - Iterative,1498,798,15,15,0.164619,7.446000000,-1.000000000
Depth First Search - Iterative,98,1899,42,2462,0.228105,18.816000000,-1.000000000
Depth First Search - Iterative,1199,499,15,15,0.166593,8.041000000,-1.000000000
Depth First Search - Iterative,2300,1600,15,15,0.164752,5.663000000,-1.000000000
Depth First Search - Iterative,900,200,15,15,0.165167,7.090000000,-1.000000000
